6.5376 	WARNING 	Monitor specification not found. Creating a temporary one...
55.1415 	EXP 	feedback_pun: height = 0.14
55.1415 	EXP 	feedback_pun: height = 0.14
55.1415 	EXP 	feedback_pun: text = '1'
55.1415 	EXP 	display_pun: height = 0.14
55.1415 	EXP 	display_pun: height = 0.14
55.1415 	EXP 	display_pun: height = 0.14
55.1415 	EXP 	display_pun: text = '-$0.50'
56.1126 	EXP 	ITI2_pun: autoDraw = True
56.1375 	EXP 	rect_out_pun: autoDraw = False
56.1375 	EXP 	feedback_pun: autoDraw = False
56.1375 	EXP 	display_pun: autoDraw = False
56.1375 	EXP 	image_pun: autoDraw = False
56.1375 	EXP 	image_redx: autoDraw = False
59.4256 	DATA 	Keypress: y
60.0992 	EXP 	New trial (rep=0, index=3): OrderedDict([('win1lose0', 0)])
60.1008 	EXP 	Created sequence: sequential, trialTypes=1, nReps=0, seed=None
60.1012 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
60.1015 	EXP 	New trial (rep=0, index=0): None
60.1104 	EXP 	ITI2_pun: autoDraw = False
60.1104 	EXP 	rect_out_pun: autoDraw = False
60.1104 	EXP 	feedback_pun: autoDraw = False
60.1104 	EXP 	display_pun: autoDraw = False
60.1104 	EXP 	ITI2_pun: autoDraw = False
60.1104 	EXP 	image_pun: autoDraw = False
60.1104 	EXP 	image_redx: autoDraw = False
60.1104 	EXP 	quest_pun: height = 0.14
60.1104 	EXP 	ISI2: text = '+'
60.1104 	EXP 	rect_resp_pun: autoDraw = True
60.1104 	EXP 	quest_pun: autoDraw = True
60.1104 	EXP 	quest_pun: height = 0.14
60.1104 	EXP 	quest_pun: height = 0.14
60.1104 	EXP 	quest_pun: height = 0.14
60.1104 	EXP 	quest_pun: text = '?'
60.3948 	DATA 	Keypress: y
62.0866 	EXP 	ISI2: autoDraw = True
62.1049 	EXP 	rect_resp_pun: autoDraw = False
62.1049 	EXP 	quest_pun: autoDraw = False
65.0969 	EXP 	ISI2: autoDraw = False
65.0969 	EXP 	rect_resp_pun: autoDraw = False
65.0969 	EXP 	quest_pun: autoDraw = False
65.0969 	EXP 	ISI2: autoDraw = False
65.0969 	EXP 	feedback_pun: height = 0.14
65.0969 	EXP 	feedback_pun: height = 0.14
65.0969 	EXP 	feedback_pun: height = 0.14
65.0969 	EXP 	feedback_pun: text = 2
65.0969 	EXP 	feedback_pun: height = 0.14
65.0969 	EXP 	display_pun: foreColor = <psychopy.colors.Color: red, alpha=1.0>
65.0969 	EXP 	display_pun: text = '-$0.50'
65.0969 	EXP 	display_pun: height = 0.14
65.0969 	EXP 	ITI2_pun: text = '+'
65.0969 	EXP 	image_pun: image = 'images/moneyloss.jpg'
65.0969 	EXP 	image_redx: image = 'images/symbolNOsuccess_small.png'
65.0969 	EXP 	rect_out_pun: autoDraw = True
65.0969 	EXP 	feedback_pun: autoDraw = True
65.0969 	EXP 	display_pun: autoDraw = True
65.0969 	EXP 	image_pun: autoDraw = True
65.0969 	EXP 	image_redx: autoDraw = True
65.0969 	EXP 	feedback_pun: height = 0.14
65.0969 	EXP 	feedback_pun: height = 0.14
65.0969 	EXP 	feedback_pun: height = 0.14
65.0969 	EXP 	feedback_pun: text = '2'
65.0969 	EXP 	display_pun: height = 0.14
65.0969 	EXP 	display_pun: height = 0.14
65.0969 	EXP 	display_pun: height = 0.14
65.0969 	EXP 	display_pun: text = '-$0.50'
66.0729 	EXP 	ITI2_pun: autoDraw = True
66.0940 	EXP 	rect_out_pun: autoDraw = False
66.0940 	EXP 	feedback_pun: autoDraw = False
66.0940 	EXP 	display_pun: autoDraw = False
66.0940 	EXP 	image_pun: autoDraw = False
66.0940 	EXP 	image_redx: autoDraw = False
67.1801 	DATA 	Keypress: escape
67.3152 	EXP 	window1: mouseVisible = True
