5.0883 	WARNING 	Monitor specification not found. Creating a temporary one...
51.9411 	EXP 	image_greencheck: autoDraw = False
51.9411 	EXP 	quest_pun: height = 0.14
51.9411 	EXP 	ISI2: height = 0.1
51.9411 	EXP 	ISI2: height = 0.1
51.9411 	EXP 	ISI2: height = 0.1
51.9411 	EXP 	ISI2: text = '+'
51.9411 	EXP 	rect_resp_pun: autoDraw = True
51.9411 	EXP 	quest_pun: autoDraw = True
51.9411 	EXP 	quest_pun: height = 0.14
51.9411 	EXP 	quest_pun: height = 0.14
51.9411 	EXP 	quest_pun: height = 0.14
51.9411 	EXP 	quest_pun: text = '?'
52.3468 	DATA 	Keypress: y
53.9313 	EXP 	rect_resp_pun: autoDraw = False
53.9313 	EXP 	quest_pun: autoDraw = False
53.9313 	EXP 	ISI2: autoDraw = True
56.8874 	EXP 	ISI2: autoDraw = False
56.8874 	EXP 	rect_resp_pun: autoDraw = False
56.8874 	EXP 	quest_pun: autoDraw = False
56.8874 	EXP 	ISI2: autoDraw = False
56.8874 	EXP 	feedback_pun: height = 1.0
56.8874 	EXP 	feedback_pun: height = 1.0
56.8874 	EXP 	feedback_pun: height = 1.0
56.8874 	EXP 	feedback_pun: text = 1
56.8874 	EXP 	feedback_pun: height = 0.14
56.8874 	EXP 	display_pun: foreColor = <psychopy.colors.Color: red, alpha=1.0>
56.8874 	EXP 	display_pun: height = 1.0
56.8874 	EXP 	display_pun: height = 1.0
56.8874 	EXP 	display_pun: height = 1.0
56.8874 	EXP 	display_pun: text = '-$0.50'
56.8874 	EXP 	display_pun: height = 0.14
56.8874 	EXP 	ITI2_pun: height = 0.1
56.8874 	EXP 	ITI2_pun: height = 0.1
56.8874 	EXP 	ITI2_pun: height = 0.1
56.8874 	EXP 	ITI2_pun: text = '+'
56.8874 	EXP 	image_pun: image = 'images/moneyloss.jpg'
56.8874 	EXP 	image_redx: image = 'images/symbolNOsuccess_small.png'
56.8874 	EXP 	rect_out_pun: autoDraw = True
56.8874 	EXP 	feedback_pun: autoDraw = True
56.8874 	EXP 	display_pun: autoDraw = True
56.8874 	EXP 	ITI2_pun: autoDraw = True
56.8874 	EXP 	image_pun: autoDraw = True
56.8874 	EXP 	image_redx: autoDraw = True
56.8874 	EXP 	feedback_pun: height = 0.14
56.8874 	EXP 	feedback_pun: height = 0.14
56.8874 	EXP 	feedback_pun: height = 0.14
56.8874 	EXP 	feedback_pun: text = '1'
56.8874 	EXP 	display_pun: height = 0.14
56.8874 	EXP 	display_pun: height = 0.14
56.8874 	EXP 	display_pun: height = 0.14
56.8874 	EXP 	display_pun: text = '-$0.50'
57.8845 	EXP 	rect_out_pun: autoDraw = False
57.8845 	EXP 	feedback_pun: autoDraw = False
57.8845 	EXP 	display_pun: autoDraw = False
57.8845 	EXP 	image_pun: autoDraw = False
57.8845 	EXP 	image_redx: autoDraw = False
60.8834 	EXP 	New trial (rep=0, index=4): OrderedDict([('win1lose0', 1)])
60.8845 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
60.8847 	EXP 	New trial (rep=0, index=0): None
60.8935 	EXP 	ITI2_pun: autoDraw = False
60.8935 	EXP 	rect_out_pun: autoDraw = False
60.8935 	EXP 	feedback_pun: autoDraw = False
60.8935 	EXP 	display_pun: autoDraw = False
60.8935 	EXP 	ITI2_pun: autoDraw = False
60.8935 	EXP 	image_pun: autoDraw = False
60.8935 	EXP 	image_redx: autoDraw = False
60.8935 	EXP 	quest_rew: height = 0.14
60.8935 	EXP 	ITI1_rew: text = '+'
60.8935 	EXP 	rect_resp_rew: autoDraw = True
60.8935 	EXP 	quest_rew: autoDraw = True
60.8935 	EXP 	quest_rew: height = 0.14
60.8935 	EXP 	quest_rew: height = 0.14
60.8935 	EXP 	quest_rew: height = 0.14
60.8935 	EXP 	quest_rew: text = '?'
61.8495 	DATA 	Keypress: y
62.8747 	EXP 	ITI1_rew: autoDraw = True
62.8911 	EXP 	rect_resp_rew: autoDraw = False
62.8911 	EXP 	quest_rew: autoDraw = False
63.8762 	EXP 	ITI1_rew: autoDraw = False
63.8762 	EXP 	rect_resp_rew: autoDraw = False
63.8762 	EXP 	quest_rew: autoDraw = False
63.8762 	EXP 	ITI1_rew: autoDraw = False
63.8762 	EXP 	feedback_rew: height = 0.14
63.8762 	EXP 	display_rew: foreColor = <psychopy.colors.Color: lime, alpha=1.0>
63.8762 	EXP 	display_rew: text = '+$1.00'
63.8762 	EXP 	display_rew: height = 0.14
63.8762 	EXP 	ITI2_rew: text = '+'
63.8762 	EXP 	image_rew: image = 'images/money.jpg'
63.8762 	EXP 	image_greencheck: image = 'images/symbolsuccess_small.png'
63.8762 	EXP 	rect_out_rew: autoDraw = True
63.8762 	EXP 	feedback_rew: autoDraw = True
63.8762 	EXP 	display_rew: autoDraw = True
63.8762 	EXP 	image_rew: autoDraw = True
63.8762 	EXP 	image_greencheck: autoDraw = True
63.8762 	EXP 	display_rew: height = 0.14
63.8762 	EXP 	display_rew: height = 0.14
63.8762 	EXP 	display_rew: height = 0.14
63.8762 	EXP 	display_rew: text = '+$1.00'
64.8589 	EXP 	ITI2_rew: autoDraw = True
64.8712 	EXP 	rect_out_rew: autoDraw = False
64.8712 	EXP 	feedback_rew: autoDraw = False
64.8712 	EXP 	display_rew: autoDraw = False
64.8712 	EXP 	image_rew: autoDraw = False
64.8712 	EXP 	image_greencheck: autoDraw = False
65.5849 	DATA 	Keypress: escape
65.7289 	EXP 	window1: mouseVisible = True
